date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,penetration_rate
2021-04-01,Sikkim,2-Wheelers,0,398,2022,Q1,0.0
2021-04-01,Sikkim,4-Wheelers,0,361,2022,Q1,0.0
2021-05-01,Sikkim,2-Wheelers,0,113,2022,Q1,0.0
2021-05-01,Sikkim,4-Wheelers,0,98,2022,Q1,0.0
2021-06-01,Sikkim,2-Wheelers,0,229,2022,Q1,0.0
2021-06-01,Sikkim,4-Wheelers,0,244,2022,Q1,0.0
2021-07-01,Sikkim,2-Wheelers,0,458,2022,Q2,0.0
2021-07-01,Sikkim,4-Wheelers,0,452,2022,Q2,0.0
2021-08-01,Sikkim,2-Wheelers,0,489,2022,Q2,0.0
2021-08-01,Sikkim,4-Wheelers,0,408,2022,Q2,0.0
2021-09-01,Sikkim,2-Wheelers,0,540,2022,Q2,0.0
2021-09-01,Sikkim,4-Wheelers,0,355,2022,Q2,0.0
2021-10-01,Sikkim,2-Wheelers,0,455,2022,Q3,0.0
2021-10-01,Sikkim,4-Wheelers,0,345,2022,Q3,0.0
2021-11-01,Sikkim,2-Wheelers,0,478,2022,Q3,0.0
2021-11-01,Sikkim,4-Wheelers,0,351,2022,Q3,0.0
2021-12-01,Sikkim,2-Wheelers,0,454,2022,Q3,0.0
2021-12-01,Sikkim,4-Wheelers,0,394,2022,Q3,0.0
2022-01-01,Sikkim,2-Wheelers,0,400,2022,Q4,0.0
2022-01-01,Sikkim,4-Wheelers,0,270,2022,Q4,0.0
2022-02-01,Sikkim,2-Wheelers,0,384,2022,Q4,0.0
2022-02-01,Sikkim,4-Wheelers,0,371,2022,Q4,0.0
2022-03-01,Sikkim,2-Wheelers,0,460,2022,Q4,0.0
2022-03-01,Sikkim,4-Wheelers,0,390,2022,Q4,0.0
2022-04-01,Sikkim,2-Wheelers,0,455,2023,Q1,0.0
2022-04-01,Sikkim,4-Wheelers,0,380,2023,Q1,0.0
2022-05-01,Sikkim,2-Wheelers,0,461,2023,Q1,0.0
2022-05-01,Sikkim,4-Wheelers,0,421,2023,Q1,0.0
2022-06-01,Sikkim,2-Wheelers,0,429,2023,Q1,0.0
2022-06-01,Sikkim,4-Wheelers,0,446,2023,Q1,0.0
2022-07-01,Sikkim,2-Wheelers,0,409,2023,Q2,0.0
2022-07-01,Sikkim,4-Wheelers,0,439,2023,Q2,0.0
2022-08-01,Sikkim,2-Wheelers,0,394,2023,Q2,0.0
2022-08-01,Sikkim,4-Wheelers,0,421,2023,Q2,0.0
2022-09-01,Sikkim,2-Wheelers,0,443,2023,Q2,0.0
2022-09-01,Sikkim,4-Wheelers,0,581,2023,Q2,0.0
2022-10-01,Sikkim,2-Wheelers,0,371,2023,Q3,0.0
2022-10-01,Sikkim,4-Wheelers,0,340,2023,Q3,0.0
2022-11-01,Sikkim,2-Wheelers,0,431,2023,Q3,0.0
2022-11-01,Sikkim,4-Wheelers,0,411,2023,Q3,0.0
2022-12-01,Sikkim,2-Wheelers,0,274,2023,Q3,0.0
2022-12-01,Sikkim,4-Wheelers,0,288,2023,Q3,0.0
2023-01-01,Sikkim,2-Wheelers,0,470,2023,Q4,0.0
2023-01-01,Sikkim,4-Wheelers,0,420,2023,Q4,0.0
2023-02-01,Sikkim,2-Wheelers,0,324,2023,Q4,0.0
2023-02-01,Sikkim,4-Wheelers,0,364,2023,Q4,0.0
2023-03-01,Sikkim,2-Wheelers,0,454,2023,Q4,0.0
2023-03-01,Sikkim,4-Wheelers,0,505,2023,Q4,0.0
2023-04-01,Sikkim,2-Wheelers,0,465,2024,Q1,0.0
2023-04-01,Sikkim,4-Wheelers,0,439,2024,Q1,0.0
2023-05-01,Sikkim,2-Wheelers,0,507,2024,Q1,0.0
2023-05-01,Sikkim,4-Wheelers,0,448,2024,Q1,0.0
2023-06-01,Sikkim,2-Wheelers,0,517,2024,Q1,0.0
2023-06-01,Sikkim,4-Wheelers,0,457,2024,Q1,0.0
2023-07-01,Sikkim,2-Wheelers,0,423,2024,Q2,0.0
2023-07-01,Sikkim,4-Wheelers,0,371,2024,Q2,0.0
2023-08-01,Sikkim,2-Wheelers,0,465,2024,Q2,0.0
2023-08-01,Sikkim,4-Wheelers,0,460,2024,Q2,0.0
2023-09-01,Sikkim,2-Wheelers,0,546,2024,Q2,0.0
2023-09-01,Sikkim,4-Wheelers,0,509,2024,Q2,0.0
2023-10-01,Sikkim,2-Wheelers,0,398,2024,Q3,0.0
2023-10-01,Sikkim,4-Wheelers,0,389,2024,Q3,0.0
2023-11-01,Sikkim,2-Wheelers,0,470,2024,Q3,0.0
2023-11-01,Sikkim,4-Wheelers,0,403,2024,Q3,0.0
2023-12-01,Sikkim,2-Wheelers,0,365,2024,Q3,0.0
2023-12-01,Sikkim,4-Wheelers,0,318,2024,Q3,0.0
2024-01-01,Sikkim,2-Wheelers,0,509,2024,Q4,0.0
