state,total_ev_sold,total_vehicles_sold,penetration_rate
Andaman & Nicobar,2,660,0.30303030303030304
Andaman & Nicobar Island,33,6543,0.504355800091701
Andhra Pradesh,33183,782865,4.238661838247974
Arunachal Pradesh,31,27892,0.11114298006596873
Assam,3497,547626,0.638574501575893
Bihar,15069,1132703,1.330357560631516
Chandigarh,2877,45147,6.3725164462755
Chhattisgarh,28540,503068,5.673189310391439
DNH and DD,198,16400,1.2073170731707317
Delhi,46724,606348,7.705805906838976
Goa,10799,78524,13.752483317202385
Gujarat,84359,1590987,5.302306052783586
Haryana,11793,732029,1.6110017499306721
Himachal Pradesh,1048,117084,0.8950838714085615
Jammu and Kashmir,2283,139359,1.6382149699696467
Jharkhand,7830,495011,1.5817830310841576
Karnataka,160989,1581988,10.17637301926437
Kerala,73938,638114,11.586957816314953
Ladakh,31,3206,0.9669369931378666
Madhya Pradesh,43223,1286182,3.360566389515636
Maharashtra,197169,2293994,8.59500940281448
Manipur,126,18422,0.68396482466616
Meghalaya,133,36628,0.3631101889265043
Mizoram,275,27422,1.002844431478375
Nagaland,9,16972,0.053028517558331364
Odisha,39118,618149,6.328247720209852
Puducherry,3098,57692,5.369895306108299
Punjab,11198,574486,1.9492206946731514
Rajasthan,66444,1300476,5.109206167587868
Sikkim,0,10518,0.0
Tamil Nadu,94314,1716940,5.493144780831013
Tripura,304,46447,0.6545094408680863
Uttar Pradesh,57758,2932347,1.9696850338653644
Uttarakhand,6336,233111,2.7180184547275763
West Bengal,16864,961909,1.753180394403213
